Square_Feet	Price_USD
1660	275456
2094	353629
1930	303969
1895	304335
2438	384818
2969	448397
1266	219341
2038	334615
1130	194576
2282	363781
2935	444019
930	  158190
2485	392609
1569	248315
3191	501230
2315	378310
3233	538242
2015	329868
1755	292113
3124	492483
1984	293818
1259	213452
821	  149053
3100	526948
1547	254164
1274	220623
1882	306779
3358	511169
2847	469192
1775	302528
2606	427765
989	  159709
1362	250341
2699	408822
2067	343852
2328	407056
1446	227041
2868	446705
3014	478594
2097	331997
3235	486990
1400	236028
3163	483515
2861	461253
1041	167358
2841	474399
3412	525051
2163	344619
2939	478052
2190	335037
2278	370111
3356	548007
1575	237137
834	  152869
3053	486848
2755	449977
2385	364195
1821	278343
3413	544779
1929	318804
2300	373757
1502	255496
3249	502149
2379	385333
961	  173546
1001	164434
2781	470136
1795	301357
3117	474680
1615	277098
1255	198629
2075	348056
1816	314778
3143	484139
1137	210000
1678	282891
1876	318730
1591	292101
3064	480919
1563	248143
3035	466907
1179	189612
1292	217643
1980	327117
2862	458450
864 	167007
3368	530395
2167	371853
1952	313830
2827	489852
3495	558635
2295	356392
1962	303236
2322	380537
3440	537648
1191	214360
2498	406798
1218	206607
3136	482698
1178	178977
2596	407702
3078	499545
2888	461411
2982	453613
1000	177597
2663	430229
1579	248592
1302	222605
3254	513973
2551	390505
1604	270966
2946	475311
2695	445495
2370	396307
1760	268334
3460	529932
2285	375475
3490	556206
1828	306925
1302	278090
1197	213113
1670	292533
1192	218110
1006	185670
1838	295970
2681	438534
2284	356007
1663	270897
1363	222169
1820	299228
895	  193969
2723	405441
2557	418843
3332	500609
3078	479621
2478	413034
1340	226964
1859	287683
3372	520070
1983	332643
2522	392344
2619	421096
3425	539433
3404	525825
2397	416709
3493	558458
1595	233872
1851	305446
2443	381523
2163	362236
